"Id"	"TrialNum"	"Focal1"	"Focal2"	"Focal3"	"Inducer"	"Concurrent"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Amp-Size-Speed-2"	1	"Amp"	"Size"	"Speed"	"Size"	"Speed"	"Size-Squares-L"	"Size-Squares-H"	"Speed-SP3-H"	"Speed-SP3-L"
"Amp-Size-Speed-2"	2	"Amp"	"Size"	"Speed"	"Brightness"	"Speed"	"Brightness-Triangles-L"	"Brightness-Triangles-H"	"Speed-SP4-H"	"Speed-SP4-L"
"Amp-Size-Speed-2"	3	"Amp"	"Size"	"Speed"	"Size"	"Affect"	"Size-Squares-H"	"Size-Squares-L"	"Affect-SC-H"	"Affect-SC-L"
"Amp-Size-Speed-2"	4	"Amp"	"Size"	"Speed"	"Amp"	"Size"	"Amp-Hum-L"	"Amp-Hum-H"	"Size-Circles-L"	"Size-Circles-H"
"Amp-Size-Speed-2"	5	"Amp"	"Size"	"Speed"	"Shape"	"Size"	"Shape-BK3-L"	"Shape-BK3-H"	"Size-Circles-H"	"Size-Circles-L"
"Amp-Size-Speed-2"	6	"Amp"	"Size"	"Speed"	"Speed"	"Affect"	"Speed-SP1-H"	"Speed-SP1-L"	"Affect-SC-H"	"Affect-SC-L"
"Amp-Size-Speed-2"	7	"Amp"	"Size"	"Speed"	"Speed"	"Amp"	"Speed-SP3-L"	"Speed-SP3-H"	"Amp-Tone-L"	"Amp-Tone-H"
"Amp-Size-Speed-2"	8	"Amp"	"Size"	"Speed"	"Speed"	"Size"	"Speed-SP3-H"	"Speed-SP3-L"	"Size-Diamonds-L"	"Size-Diamonds-H"
"Amp-Size-Speed-2"	9	"Amp"	"Size"	"Speed"	"Size"	"Brightness"	"Size-Triangles-H"	"Size-Triangles-L"	"Brightness-Triangles-L"	"Brightness-Triangles-H"
"Amp-Size-Speed-2"	10	"Amp"	"Size"	"Speed"	"Pitch"	"Speed"	"Pitch-Hum-H"	"Pitch-Hum-L"	"Speed-SP4-L"	"Speed-SP4-H"
