"Id"	"TrialNum"	"Focal1"	"Focal2"	"Focal3"	"Inducer"	"Concurrent"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Noise-Brightness-Color-10"	1	"Noise"	"Brightness"	"Color"	"Shape"	"Brightness"	"Shape-BK4-L"	"Shape-BK4-H"	"Brightness-Triangles-L"	"Brightness-Triangles-H"
"Noise-Brightness-Color-10"	2	"Noise"	"Brightness"	"Color"	"Brightness"	"Shape"	"Brightness-Squares-L"	"Brightness-Squares-H"	"Shape-BK4-L"	"Shape-BK4-H"
"Noise-Brightness-Color-10"	3	"Noise"	"Brightness"	"Color"	"Noise"	"Pitch"	"Noise-Hum-L"	"Noise-Hum-H"	"Pitch-Piano-L"	"Pitch-Piano-H"
"Noise-Brightness-Color-10"	4	"Noise"	"Brightness"	"Color"	"Brightness"	"Shape"	"Brightness-Diamonds-H"	"Brightness-Diamonds-L"	"Shape-BK4-L"	"Shape-BK4-H"
"Noise-Brightness-Color-10"	5	"Noise"	"Brightness"	"Color"	"Color"	"Pitch"	"Color-YB-L"	"Color-YB-H"	"Pitch-Piano-L"	"Pitch-Piano-H"
"Noise-Brightness-Color-10"	6	"Noise"	"Brightness"	"Color"	"Color"	"Brightness"	"Color-RY-L"	"Color-RY-H"	"Brightness-Triangles-L"	"Brightness-Triangles-H"
"Noise-Brightness-Color-10"	7	"Noise"	"Brightness"	"Color"	"Noise"	"Brightness"	"Noise-Tone-H"	"Noise-Tone-L"	"Brightness-Triangles-H"	"Brightness-Triangles-L"
"Noise-Brightness-Color-10"	8	"Noise"	"Brightness"	"Color"	"Brightness"	"Color"	"Brightness-Circles-L"	"Brightness-Circles-H"	"Color-RG-H"	"Color-RG-L"
"Noise-Brightness-Color-10"	9	"Noise"	"Brightness"	"Color"	"Speed"	"Color"	"Speed-SP2-L"	"Speed-SP2-H"	"Color-RB-H"	"Color-RB-L"
"Noise-Brightness-Color-10"	10	"Noise"	"Brightness"	"Color"	"Speed"	"Brightness"	"Speed-SP2-L"	"Speed-SP2-H"	"Brightness-Circles-L"	"Brightness-Circles-H"
"Noise-Brightness-Color-10"	11	"Noise"	"Brightness"	"Color"	"Color"	"Brightness"	"Color-YB-H"	"Color-YB-L"	"Brightness-Circles-H"	"Brightness-Circles-L"
