"Id"	"TrialNum"	"Focal1"	"Focal2"	"Focal3"	"Inducer"	"Concurrent"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Pitch-Size-Color-7"	1	"Pitch"	"Size"	"Color"	"Color"	"Noise"	"Color-RG-H"	"Color-RG-L"	"Noise-Piano-H"	"Noise-Piano-L"
"Pitch-Size-Color-7"	2	"Pitch"	"Size"	"Color"	"Pitch"	"Color"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Color-RB-H"	"Color-RB-L"
"Pitch-Size-Color-7"	3	"Pitch"	"Size"	"Color"	"Color"	"Speed"	"Color-RG-H"	"Color-RG-L"	"Speed-SP3-H"	"Speed-SP3-L"
"Pitch-Size-Color-7"	4	"Pitch"	"Size"	"Color"	"Pitch"	"Brightness"	"Pitch-Tone-H"	"Pitch-Tone-L"	"Brightness-Triangles-H"	"Brightness-Triangles-L"
"Pitch-Size-Color-7"	5	"Pitch"	"Size"	"Color"	"Pitch"	"Shape"	"Pitch-Tone-H"	"Pitch-Tone-L"	"Shape-BK3-H"	"Shape-BK3-L"
"Pitch-Size-Color-7"	6	"Pitch"	"Size"	"Color"	"Noise"	"Pitch"	"Noise-Piano-H"	"Noise-Piano-L"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Pitch-Size-Color-7"	7	"Pitch"	"Size"	"Color"	"Color"	"Size"	"Color-RB-L"	"Color-RB-H"	"Size-Diamonds-H"	"Size-Diamonds-L"
"Pitch-Size-Color-7"	8	"Pitch"	"Size"	"Color"	"Size"	"Pitch"	"Size-Diamonds-L"	"Size-Diamonds-H"	"Pitch-Piano-H"	"Pitch-Piano-L"
"Pitch-Size-Color-7"	9	"Pitch"	"Size"	"Color"	"Pitch"	"Brightness"	"Pitch-Pulse-H"	"Pitch-Pulse-L"	"Brightness-Triangles-L"	"Brightness-Triangles-H"
"Pitch-Size-Color-7"	10	"Pitch"	"Size"	"Color"	"Size"	"Amp"	"Size-Squares-L"	"Size-Squares-H"	"Amp-Tone-L"	"Amp-Tone-H"
"Pitch-Size-Color-7"	11	"Pitch"	"Size"	"Color"	"Noise"	"Color"	"Noise-Piano-H"	"Noise-Piano-L"	"Color-RB-H"	"Color-RB-L"
"Pitch-Size-Color-7"	12	"Pitch"	"Size"	"Color"	"Color"	"Speed"	"Color-YB-H"	"Color-YB-L"	"Speed-SP3-H"	"Speed-SP3-L"
"Pitch-Size-Color-7"	13	"Pitch"	"Size"	"Color"	"Color"	"Size"	"Color-RB-H"	"Color-RB-L"	"Size-Triangles-L"	"Size-Triangles-H"
"Pitch-Size-Color-7"	14	"Pitch"	"Size"	"Color"	"Speed"	"Size"	"Speed-SP3-H"	"Speed-SP3-L"	"Size-Diamonds-L"	"Size-Diamonds-H"
"Pitch-Size-Color-7"	15	"Pitch"	"Size"	"Color"	"Brightness"	"Color"	"Brightness-Triangles-L"	"Brightness-Triangles-H"	"Color-RB-L"	"Color-RB-H"
"Pitch-Size-Color-7"	16	"Pitch"	"Size"	"Color"	"Pitch"	"Size"	"Pitch-Tone-H"	"Pitch-Tone-L"	"Size-Diamonds-L"	"Size-Diamonds-H"
"Pitch-Size-Color-7"	17	"Pitch"	"Size"	"Color"	"Amp"	"Pitch"	"Amp-Tone-H"	"Amp-Tone-L"	"Pitch-Piano-L"	"Pitch-Piano-H"
"Pitch-Size-Color-7"	18	"Pitch"	"Size"	"Color"	"Speed"	"Pitch"	"Speed-SP3-L"	"Speed-SP3-H"	"Pitch-Piano-L"	"Pitch-Piano-H"
"Pitch-Size-Color-7"	19	"Pitch"	"Size"	"Color"	"Size"	"Amp"	"Size-Circles-L"	"Size-Circles-H"	"Amp-Tone-H"	"Amp-Tone-L"
"Pitch-Size-Color-7"	20	"Pitch"	"Size"	"Color"	"Shape"	"Color"	"Shape-BK3-H"	"Shape-BK3-L"	"Color-RY-H"	"Color-RY-L"
"Pitch-Size-Color-7"	21	"Pitch"	"Size"	"Color"	"Size"	"Shape"	"Size-Circles-L"	"Size-Circles-H"	"Shape-BK3-L"	"Shape-BK3-H"
"Pitch-Size-Color-7"	22	"Pitch"	"Size"	"Color"	"Speed"	"Pitch"	"Speed-SP3-H"	"Speed-SP3-L"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Pitch-Size-Color-7"	23	"Pitch"	"Size"	"Color"	"Size"	"Affect"	"Size-Squares-L"	"Size-Squares-H"	"Affect-PD-L"	"Affect-PD-H"
"Pitch-Size-Color-7"	24	"Pitch"	"Size"	"Color"	"Pitch"	"Speed"	"Pitch-Tone-H"	"Pitch-Tone-L"	"Speed-SP3-L"	"Speed-SP3-H"
"Pitch-Size-Color-7"	25	"Pitch"	"Size"	"Color"	"Color"	"Shape"	"Color-YB-L"	"Color-YB-H"	"Shape-BK3-H"	"Shape-BK3-L"
"Pitch-Size-Color-7"	26	"Pitch"	"Size"	"Color"	"Shape"	"Color"	"Shape-BK3-L"	"Shape-BK3-H"	"Color-RB-L"	"Color-RB-H"
"Pitch-Size-Color-7"	27	"Pitch"	"Size"	"Color"	"Shape"	"Pitch"	"Shape-BK3-L"	"Shape-BK3-H"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Pitch-Size-Color-7"	28	"Pitch"	"Size"	"Color"	"Size"	"Color"	"Size-Squares-L"	"Size-Squares-H"	"Color-RB-L"	"Color-RB-H"
"Pitch-Size-Color-7"	29	"Pitch"	"Size"	"Color"	"Pitch"	"Color"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Color-RY-L"	"Color-RY-H"
"Pitch-Size-Color-7"	30	"Pitch"	"Size"	"Color"	"Size"	"Affect"	"Size-Circles-L"	"Size-Circles-H"	"Affect-PD-L"	"Affect-PD-H"
"Pitch-Size-Color-7"	31	"Pitch"	"Size"	"Color"	"Pitch"	"Affect"	"Pitch-Pulse-L"	"Pitch-Pulse-H"	"Affect-PD-H"	"Affect-PD-L"
"Pitch-Size-Color-7"	32	"Pitch"	"Size"	"Color"	"Shape"	"Size"	"Shape-BK3-H"	"Shape-BK3-L"	"Size-Triangles-L"	"Size-Triangles-H"
"Pitch-Size-Color-7"	33	"Pitch"	"Size"	"Color"	"Speed"	"Color"	"Speed-SP3-H"	"Speed-SP3-L"	"Color-RB-H"	"Color-RB-L"
"Pitch-Size-Color-7"	34	"Pitch"	"Size"	"Color"	"Color"	"Noise"	"Color-YB-H"	"Color-YB-L"	"Noise-Piano-L"	"Noise-Piano-H"
"Pitch-Size-Color-7"	35	"Pitch"	"Size"	"Color"	"Pitch"	"Size"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Size-Triangles-H"	"Size-Triangles-L"
"Pitch-Size-Color-7"	36	"Pitch"	"Size"	"Color"	"Shape"	"Pitch"	"Shape-BK3-L"	"Shape-BK3-H"	"Pitch-Piano-L"	"Pitch-Piano-H"
"Pitch-Size-Color-7"	37	"Pitch"	"Size"	"Color"	"Size"	"Brightness"	"Size-Squares-H"	"Size-Squares-L"	"Brightness-Triangles-L"	"Brightness-Triangles-H"
"Pitch-Size-Color-7"	38	"Pitch"	"Size"	"Color"	"Affect"	"Size"	"Affect-PD-H"	"Affect-PD-L"	"Size-Diamonds-H"	"Size-Diamonds-L"
"Pitch-Size-Color-7"	39	"Pitch"	"Size"	"Color"	"Size"	"Shape"	"Size-Squares-L"	"Size-Squares-H"	"Shape-BK3-L"	"Shape-BK3-H"
"Pitch-Size-Color-7"	40	"Pitch"	"Size"	"Color"	"Size"	"Color"	"Size-Diamonds-H"	"Size-Diamonds-L"	"Color-RB-H"	"Color-RB-L"
"Pitch-Size-Color-7"	41	"Pitch"	"Size"	"Color"	"Brightness"	"Color"	"Brightness-Triangles-H"	"Brightness-Triangles-L"	"Color-RY-H"	"Color-RY-L"
"Pitch-Size-Color-7"	42	"Pitch"	"Size"	"Color"	"Pitch"	"Size"	"Pitch-Pulse-L"	"Pitch-Pulse-H"	"Size-Diamonds-L"	"Size-Diamonds-H"
"Pitch-Size-Color-7"	43	"Pitch"	"Size"	"Color"	"Affect"	"Pitch"	"Affect-PD-L"	"Affect-PD-H"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Pitch-Size-Color-7"	44	"Pitch"	"Size"	"Color"	"Brightness"	"Size"	"Brightness-Triangles-H"	"Brightness-Triangles-L"	"Size-Diamonds-L"	"Size-Diamonds-H"
"Pitch-Size-Color-7"	45	"Pitch"	"Size"	"Color"	"Speed"	"Size"	"Speed-SP3-L"	"Speed-SP3-H"	"Size-Triangles-H"	"Size-Triangles-L"
"Pitch-Size-Color-7"	46	"Pitch"	"Size"	"Color"	"Amp"	"Size"	"Amp-Tone-L"	"Amp-Tone-H"	"Size-Diamonds-H"	"Size-Diamonds-L"
"Pitch-Size-Color-7"	47	"Pitch"	"Size"	"Color"	"Affect"	"Pitch"	"Affect-PD-H"	"Affect-PD-L"	"Pitch-Piano-H"	"Pitch-Piano-L"
"Pitch-Size-Color-7"	48	"Pitch"	"Size"	"Color"	"Size"	"Color"	"Size-Diamonds-L"	"Size-Diamonds-H"	"Color-RY-L"	"Color-RY-H"
"Pitch-Size-Color-7"	49	"Pitch"	"Size"	"Color"	"Pitch"	"Noise"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Noise-Piano-H"	"Noise-Piano-L"
"Pitch-Size-Color-7"	50	"Pitch"	"Size"	"Color"	"Pitch"	"Shape"	"Pitch-Pulse-H"	"Pitch-Pulse-L"	"Shape-BK3-L"	"Shape-BK3-H"
"Pitch-Size-Color-7"	51	"Pitch"	"Size"	"Color"	"Brightness"	"Pitch"	"Brightness-Triangles-L"	"Brightness-Triangles-H"	"Pitch-Piano-L"	"Pitch-Piano-H"
"Pitch-Size-Color-7"	52	"Pitch"	"Size"	"Color"	"Pitch"	"Noise"	"Pitch-Pulse-L"	"Pitch-Pulse-H"	"Noise-Piano-H"	"Noise-Piano-L"
"Pitch-Size-Color-7"	53	"Pitch"	"Size"	"Color"	"Size"	"Brightness"	"Size-Circles-H"	"Size-Circles-L"	"Brightness-Triangles-L"	"Brightness-Triangles-H"
"Pitch-Size-Color-7"	54	"Pitch"	"Size"	"Color"	"Speed"	"Color"	"Speed-SP3-L"	"Speed-SP3-H"	"Color-RY-L"	"Color-RY-H"
"Pitch-Size-Color-7"	55	"Pitch"	"Size"	"Color"	"Affect"	"Size"	"Affect-PD-H"	"Affect-PD-L"	"Size-Triangles-L"	"Size-Triangles-H"
"Pitch-Size-Color-7"	56	"Pitch"	"Size"	"Color"	"Size"	"Noise"	"Size-Squares-H"	"Size-Squares-L"	"Noise-Piano-L"	"Noise-Piano-H"
"Pitch-Size-Color-7"	57	"Pitch"	"Size"	"Color"	"Size"	"Speed"	"Size-Squares-H"	"Size-Squares-L"	"Speed-SP3-L"	"Speed-SP3-H"
"Pitch-Size-Color-7"	58	"Pitch"	"Size"	"Color"	"Size"	"Noise"	"Size-Circles-H"	"Size-Circles-L"	"Noise-Piano-H"	"Noise-Piano-L"
"Pitch-Size-Color-7"	59	"Pitch"	"Size"	"Color"	"Noise"	"Size"	"Noise-Piano-H"	"Noise-Piano-L"	"Size-Diamonds-L"	"Size-Diamonds-H"
"Pitch-Size-Color-7"	60	"Pitch"	"Size"	"Color"	"Size"	"Color"	"Size-Circles-L"	"Size-Circles-H"	"Color-RB-L"	"Color-RB-H"
"Pitch-Size-Color-7"	61	"Pitch"	"Size"	"Color"	"Color"	"Size"	"Color-YB-H"	"Color-YB-L"	"Size-Diamonds-H"	"Size-Diamonds-L"
"Pitch-Size-Color-7"	62	"Pitch"	"Size"	"Color"	"Color"	"Pitch"	"Color-RG-H"	"Color-RG-L"	"Pitch-Tone-L"	"Pitch-Tone-H"
"Pitch-Size-Color-7"	63	"Pitch"	"Size"	"Color"	"Color"	"Shape"	"Color-RG-L"	"Color-RG-H"	"Shape-BK3-H"	"Shape-BK3-L"
"Pitch-Size-Color-7"	64	"Pitch"	"Size"	"Color"	"Color"	"Amp"	"Color-RG-L"	"Color-RG-H"	"Amp-Tone-H"	"Amp-Tone-L"
"Pitch-Size-Color-7"	65	"Pitch"	"Size"	"Color"	"Color"	"Pitch"	"Color-YB-H"	"Color-YB-L"	"Pitch-Tone-L"	"Pitch-Tone-H"
"Pitch-Size-Color-7"	66	"Pitch"	"Size"	"Color"	"Color"	"Brightness"	"Color-YB-L"	"Color-YB-H"	"Brightness-Triangles-H"	"Brightness-Triangles-L"
"Pitch-Size-Color-7"	67	"Pitch"	"Size"	"Color"	"Pitch"	"Color"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Color-RB-H"	"Color-RB-L"
"Pitch-Size-Color-7"	68	"Pitch"	"Size"	"Color"	"Color"	"Brightness"	"Color-RG-L"	"Color-RG-H"	"Brightness-Triangles-L"	"Brightness-Triangles-H"
"Pitch-Size-Color-7"	69	"Pitch"	"Size"	"Color"	"Color"	"Pitch"	"Color-RB-H"	"Color-RB-L"	"Pitch-Piano-H"	"Pitch-Piano-L"
"Pitch-Size-Color-7"	70	"Pitch"	"Size"	"Color"	"Pitch"	"Size"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Size-Diamonds-L"	"Size-Diamonds-H"
"Pitch-Size-Color-7"	71	"Pitch"	"Size"	"Color"	"Shape"	"Size"	"Shape-BK3-H"	"Shape-BK3-L"	"Size-Diamonds-H"	"Size-Diamonds-L"
"Pitch-Size-Color-7"	72	"Pitch"	"Size"	"Color"	"Size"	"Pitch"	"Size-Circles-H"	"Size-Circles-L"	"Pitch-Tone-L"	"Pitch-Tone-H"
"Pitch-Size-Color-7"	73	"Pitch"	"Size"	"Color"	"Amp"	"Color"	"Amp-Tone-L"	"Amp-Tone-H"	"Color-RY-H"	"Color-RY-L"
