"Id"	"TrialNum"	"Focal1"	"Focal2"	"Focal3"	"Inducer"	"Concurrent"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Brightness-Amp-Affect-25"	1	"Brightness"	"Amp"	"Affect"	"Affect"	"Brightness"	"Affect-EB-H"	"Affect-EB-L"	"Brightness-Triangles-L"	"Brightness-Triangles-H"
"Brightness-Amp-Affect-25"	2	"Brightness"	"Amp"	"Affect"	"Brightness"	"Pitch"	"Brightness-Squares-L"	"Brightness-Squares-H"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Brightness-Amp-Affect-25"	3	"Brightness"	"Amp"	"Affect"	"Brightness"	"Amp"	"Brightness-Triangles-L"	"Brightness-Triangles-H"	"Amp-Pulse-H"	"Amp-Pulse-L"
"Brightness-Amp-Affect-25"	4	"Brightness"	"Amp"	"Affect"	"Pitch"	"Brightness"	"Pitch-Hum-H"	"Pitch-Hum-L"	"Brightness-Diamonds-H"	"Brightness-Diamonds-L"
"Brightness-Amp-Affect-25"	5	"Brightness"	"Amp"	"Affect"	"Brightness"	"Color"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Color-RB-L"	"Color-RB-H"
"Brightness-Amp-Affect-25"	6	"Brightness"	"Amp"	"Affect"	"Color"	"Affect"	"Color-RB-H"	"Color-RB-L"	"Affect-PD-H"	"Affect-PD-L"
"Brightness-Amp-Affect-25"	7	"Brightness"	"Amp"	"Affect"	"Affect"	"Shape"	"Affect-EB-H"	"Affect-EB-L"	"Shape-BK3-L"	"Shape-BK3-H"
"Brightness-Amp-Affect-25"	8	"Brightness"	"Amp"	"Affect"	"Amp"	"Affect"	"Amp-Tone-H"	"Amp-Tone-L"	"Affect-SC-L"	"Affect-SC-H"
"Brightness-Amp-Affect-25"	9	"Brightness"	"Amp"	"Affect"	"Affect"	"Brightness"	"Affect-EB-H"	"Affect-EB-L"	"Brightness-Diamonds-L"	"Brightness-Diamonds-H"
"Brightness-Amp-Affect-25"	10	"Brightness"	"Amp"	"Affect"	"Affect"	"Brightness"	"Affect-HS-H"	"Affect-HS-L"	"Brightness-Triangles-L"	"Brightness-Triangles-H"
"Brightness-Amp-Affect-25"	11	"Brightness"	"Amp"	"Affect"	"Brightness"	"Amp"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Amp-Tone-H"	"Amp-Tone-L"
"Brightness-Amp-Affect-25"	12	"Brightness"	"Amp"	"Affect"	"Brightness"	"Shape"	"Brightness-Triangles-H"	"Brightness-Triangles-L"	"Shape-BK3-H"	"Shape-BK3-L"
"Brightness-Amp-Affect-25"	13	"Brightness"	"Amp"	"Affect"	"Noise"	"Affect"	"Noise-Pulse-H"	"Noise-Pulse-L"	"Affect-SC-H"	"Affect-SC-L"
"Brightness-Amp-Affect-25"	14	"Brightness"	"Amp"	"Affect"	"Brightness"	"Speed"	"Brightness-Triangles-L"	"Brightness-Triangles-H"	"Speed-SP1-L"	"Speed-SP1-H"
"Brightness-Amp-Affect-25"	15	"Brightness"	"Amp"	"Affect"	"Color"	"Affect"	"Color-RB-H"	"Color-RB-L"	"Affect-SC-H"	"Affect-SC-L"
"Brightness-Amp-Affect-25"	16	"Brightness"	"Amp"	"Affect"	"Amp"	"Affect"	"Amp-Piano-H"	"Amp-Piano-L"	"Affect-EB-L"	"Affect-EB-H"
"Brightness-Amp-Affect-25"	17	"Brightness"	"Amp"	"Affect"	"Size"	"Brightness"	"Size-Triangles-L"	"Size-Triangles-H"	"Brightness-Circles-H"	"Brightness-Circles-L"
"Brightness-Amp-Affect-25"	18	"Brightness"	"Amp"	"Affect"	"Speed"	"Amp"	"Speed-SP1-L"	"Speed-SP1-H"	"Amp-Pulse-H"	"Amp-Pulse-L"
"Brightness-Amp-Affect-25"	19	"Brightness"	"Amp"	"Affect"	"Affect"	"Noise"	"Affect-HS-L"	"Affect-HS-H"	"Noise-Pulse-H"	"Noise-Pulse-L"
"Brightness-Amp-Affect-25"	20	"Brightness"	"Amp"	"Affect"	"Shape"	"Brightness"	"Shape-BK3-H"	"Shape-BK3-L"	"Brightness-Diamonds-L"	"Brightness-Diamonds-H"
"Brightness-Amp-Affect-25"	21	"Brightness"	"Amp"	"Affect"	"Noise"	"Brightness"	"Noise-Pulse-L"	"Noise-Pulse-H"	"Brightness-Diamonds-H"	"Brightness-Diamonds-L"
"Brightness-Amp-Affect-25"	22	"Brightness"	"Amp"	"Affect"	"Amp"	"Pitch"	"Amp-Piano-L"	"Amp-Piano-H"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Brightness-Amp-Affect-25"	23	"Brightness"	"Amp"	"Affect"	"Amp"	"Brightness"	"Amp-Hum-L"	"Amp-Hum-H"	"Brightness-Triangles-H"	"Brightness-Triangles-L"
