"Id"	"TrialNum"	"Focal1"	"Focal2"	"Focal3"	"Inducer"	"Concurrent"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Pitch-Shape-Affect-10"	1	"Pitch"	"Shape"	"Affect"	"Affect"	"Shape"	"Affect-PD-H"	"Affect-PD-L"	"Shape-BK3-H"	"Shape-BK3-L"
"Pitch-Shape-Affect-10"	2	"Pitch"	"Shape"	"Affect"	"Affect"	"Noise"	"Affect-PD-H"	"Affect-PD-L"	"Noise-Piano-H"	"Noise-Piano-L"
"Pitch-Shape-Affect-10"	3	"Pitch"	"Shape"	"Affect"	"Affect"	"Color"	"Affect-SC-L"	"Affect-SC-H"	"Color-RB-H"	"Color-RB-L"
"Pitch-Shape-Affect-10"	4	"Pitch"	"Shape"	"Affect"	"Pitch"	"Size"	"Pitch-Piano-H"	"Pitch-Piano-L"	"Size-Circles-L"	"Size-Circles-H"
"Pitch-Shape-Affect-10"	5	"Pitch"	"Shape"	"Affect"	"Affect"	"Size"	"Affect-PD-H"	"Affect-PD-L"	"Size-Circles-L"	"Size-Circles-H"
"Pitch-Shape-Affect-10"	6	"Pitch"	"Shape"	"Affect"	"Pitch"	"Brightness"	"Pitch-Piano-L"	"Pitch-Piano-H"	"Brightness-Squares-H"	"Brightness-Squares-L"
"Pitch-Shape-Affect-10"	7	"Pitch"	"Shape"	"Affect"	"Amp"	"Shape"	"Amp-Tone-L"	"Amp-Tone-H"	"Shape-BK4-L"	"Shape-BK4-H"
"Pitch-Shape-Affect-10"	8	"Pitch"	"Shape"	"Affect"	"Shape"	"Amp"	"Shape-BK2-L"	"Shape-BK2-H"	"Amp-Tone-L"	"Amp-Tone-H"
"Pitch-Shape-Affect-10"	9	"Pitch"	"Shape"	"Affect"	"Speed"	"Affect"	"Speed-SP3-H"	"Speed-SP3-L"	"Affect-HS-L"	"Affect-HS-H"
"Pitch-Shape-Affect-10"	10	"Pitch"	"Shape"	"Affect"	"Shape"	"Affect"	"Shape-BK2-L"	"Shape-BK2-H"	"Affect-PD-H"	"Affect-PD-L"
"Pitch-Shape-Affect-10"	11	"Pitch"	"Shape"	"Affect"	"Pitch"	"Shape"	"Pitch-Piano-L"	"Pitch-Piano-H"	"Shape-BK3-L"	"Shape-BK3-H"
"Pitch-Shape-Affect-10"	12	"Pitch"	"Shape"	"Affect"	"Pitch"	"Noise"	"Pitch-Piano-H"	"Pitch-Piano-L"	"Noise-Piano-L"	"Noise-Piano-H"
"Pitch-Shape-Affect-10"	13	"Pitch"	"Shape"	"Affect"	"Affect"	"Pitch"	"Affect-PD-L"	"Affect-PD-H"	"Pitch-Pulse-L"	"Pitch-Pulse-H"
"Pitch-Shape-Affect-10"	14	"Pitch"	"Shape"	"Affect"	"Noise"	"Shape"	"Noise-Piano-H"	"Noise-Piano-L"	"Shape-BK4-H"	"Shape-BK4-L"
"Pitch-Shape-Affect-10"	15	"Pitch"	"Shape"	"Affect"	"Brightness"	"Shape"	"Brightness-Squares-L"	"Brightness-Squares-H"	"Shape-BK4-H"	"Shape-BK4-L"
"Pitch-Shape-Affect-10"	16	"Pitch"	"Shape"	"Affect"	"Brightness"	"Affect"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Affect-EB-H"	"Affect-EB-L"
"Pitch-Shape-Affect-10"	17	"Pitch"	"Shape"	"Affect"	"Affect"	"Speed"	"Affect-SC-H"	"Affect-SC-L"	"Speed-SP3-H"	"Speed-SP3-L"
"Pitch-Shape-Affect-10"	18	"Pitch"	"Shape"	"Affect"	"Affect"	"Shape"	"Affect-PD-L"	"Affect-PD-H"	"Shape-BK4-L"	"Shape-BK4-H"
"Pitch-Shape-Affect-10"	19	"Pitch"	"Shape"	"Affect"	"Affect"	"Pitch"	"Affect-PD-H"	"Affect-PD-L"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Pitch-Shape-Affect-10"	20	"Pitch"	"Shape"	"Affect"	"Amp"	"Affect"	"Amp-Tone-L"	"Amp-Tone-H"	"Affect-HS-L"	"Affect-HS-H"
"Pitch-Shape-Affect-10"	21	"Pitch"	"Shape"	"Affect"	"Shape"	"Speed"	"Shape-BK1-L"	"Shape-BK1-H"	"Speed-SP3-L"	"Speed-SP3-H"
"Pitch-Shape-Affect-10"	22	"Pitch"	"Shape"	"Affect"	"Pitch"	"Color"	"Pitch-Piano-H"	"Pitch-Piano-L"	"Color-RB-H"	"Color-RB-L"
"Pitch-Shape-Affect-10"	23	"Pitch"	"Shape"	"Affect"	"Affect"	"Brightness"	"Affect-PD-L"	"Affect-PD-H"	"Brightness-Squares-L"	"Brightness-Squares-H"
"Pitch-Shape-Affect-10"	24	"Pitch"	"Shape"	"Affect"	"Shape"	"Noise"	"Shape-BK2-H"	"Shape-BK2-L"	"Noise-Piano-H"	"Noise-Piano-L"
"Pitch-Shape-Affect-10"	25	"Pitch"	"Shape"	"Affect"	"Pitch"	"Amp"	"Pitch-Tone-H"	"Pitch-Tone-L"	"Amp-Tone-H"	"Amp-Tone-L"
"Pitch-Shape-Affect-10"	26	"Pitch"	"Shape"	"Affect"	"Pitch"	"Speed"	"Pitch-Tone-H"	"Pitch-Tone-L"	"Speed-SP3-L"	"Speed-SP3-H"
"Pitch-Shape-Affect-10"	27	"Pitch"	"Shape"	"Affect"	"Affect"	"Brightness"	"Affect-SC-H"	"Affect-SC-L"	"Brightness-Squares-H"	"Brightness-Squares-L"
"Pitch-Shape-Affect-10"	28	"Pitch"	"Shape"	"Affect"	"Amp"	"Shape"	"Amp-Tone-L"	"Amp-Tone-H"	"Shape-BK3-H"	"Shape-BK3-L"
"Pitch-Shape-Affect-10"	29	"Pitch"	"Shape"	"Affect"	"Pitch"	"Noise"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Noise-Piano-H"	"Noise-Piano-L"
"Pitch-Shape-Affect-10"	30	"Pitch"	"Shape"	"Affect"	"Color"	"Shape"	"Color-RB-H"	"Color-RB-L"	"Shape-BK3-H"	"Shape-BK3-L"
"Pitch-Shape-Affect-10"	31	"Pitch"	"Shape"	"Affect"	"Brightness"	"Pitch"	"Brightness-Squares-L"	"Brightness-Squares-H"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Pitch-Shape-Affect-10"	32	"Pitch"	"Shape"	"Affect"	"Shape"	"Affect"	"Shape-BK4-L"	"Shape-BK4-H"	"Affect-EB-H"	"Affect-EB-L"
"Pitch-Shape-Affect-10"	33	"Pitch"	"Shape"	"Affect"	"Affect"	"Pitch"	"Affect-PD-H"	"Affect-PD-L"	"Pitch-Piano-H"	"Pitch-Piano-L"
"Pitch-Shape-Affect-10"	34	"Pitch"	"Shape"	"Affect"	"Brightness"	"Shape"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Shape-BK3-L"	"Shape-BK3-H"
"Pitch-Shape-Affect-10"	35	"Pitch"	"Shape"	"Affect"	"Shape"	"Size"	"Shape-BK2-L"	"Shape-BK2-H"	"Size-Circles-L"	"Size-Circles-H"
"Pitch-Shape-Affect-10"	36	"Pitch"	"Shape"	"Affect"	"Size"	"Affect"	"Size-Circles-L"	"Size-Circles-H"	"Affect-HS-H"	"Affect-HS-L"
"Pitch-Shape-Affect-10"	37	"Pitch"	"Shape"	"Affect"	"Shape"	"Color"	"Shape-BK1-H"	"Shape-BK1-L"	"Color-RB-L"	"Color-RB-H"
"Pitch-Shape-Affect-10"	38	"Pitch"	"Shape"	"Affect"	"Pitch"	"Brightness"	"Pitch-Tone-H"	"Pitch-Tone-L"	"Brightness-Squares-L"	"Brightness-Squares-H"
"Pitch-Shape-Affect-10"	39	"Pitch"	"Shape"	"Affect"	"Shape"	"Pitch"	"Shape-BK1-L"	"Shape-BK1-H"	"Pitch-Piano-H"	"Pitch-Piano-L"
"Pitch-Shape-Affect-10"	40	"Pitch"	"Shape"	"Affect"	"Affect"	"Color"	"Affect-PD-H"	"Affect-PD-L"	"Color-RB-L"	"Color-RB-H"
"Pitch-Shape-Affect-10"	41	"Pitch"	"Shape"	"Affect"	"Affect"	"Size"	"Affect-SC-L"	"Affect-SC-H"	"Size-Circles-H"	"Size-Circles-L"
"Pitch-Shape-Affect-10"	42	"Pitch"	"Shape"	"Affect"	"Noise"	"Shape"	"Noise-Piano-H"	"Noise-Piano-L"	"Shape-BK3-L"	"Shape-BK3-H"
"Pitch-Shape-Affect-10"	43	"Pitch"	"Shape"	"Affect"	"Shape"	"Brightness"	"Shape-BK1-L"	"Shape-BK1-H"	"Brightness-Squares-H"	"Brightness-Squares-L"
"Pitch-Shape-Affect-10"	44	"Pitch"	"Shape"	"Affect"	"Pitch"	"Speed"	"Pitch-Piano-L"	"Pitch-Piano-H"	"Speed-SP3-L"	"Speed-SP3-H"
"Pitch-Shape-Affect-10"	45	"Pitch"	"Shape"	"Affect"	"Amp"	"Affect"	"Amp-Tone-H"	"Amp-Tone-L"	"Affect-EB-H"	"Affect-EB-L"
"Pitch-Shape-Affect-10"	46	"Pitch"	"Shape"	"Affect"	"Size"	"Affect"	"Size-Circles-L"	"Size-Circles-H"	"Affect-EB-L"	"Affect-EB-H"
"Pitch-Shape-Affect-10"	47	"Pitch"	"Shape"	"Affect"	"Speed"	"Affect"	"Speed-SP3-H"	"Speed-SP3-L"	"Affect-EB-H"	"Affect-EB-L"
"Pitch-Shape-Affect-10"	48	"Pitch"	"Shape"	"Affect"	"Pitch"	"Affect"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Affect-PD-H"	"Affect-PD-L"
"Pitch-Shape-Affect-10"	49	"Pitch"	"Shape"	"Affect"	"Affect"	"Amp"	"Affect-SC-H"	"Affect-SC-L"	"Amp-Tone-L"	"Amp-Tone-H"
"Pitch-Shape-Affect-10"	50	"Pitch"	"Shape"	"Affect"	"Noise"	"Pitch"	"Noise-Piano-L"	"Noise-Piano-H"	"Pitch-Pulse-L"	"Pitch-Pulse-H"
"Pitch-Shape-Affect-10"	51	"Pitch"	"Shape"	"Affect"	"Size"	"Pitch"	"Size-Circles-H"	"Size-Circles-L"	"Pitch-Pulse-L"	"Pitch-Pulse-H"
"Pitch-Shape-Affect-10"	52	"Pitch"	"Shape"	"Affect"	"Brightness"	"Affect"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Affect-HS-L"	"Affect-HS-H"
"Pitch-Shape-Affect-10"	53	"Pitch"	"Shape"	"Affect"	"Affect"	"Amp"	"Affect-PD-L"	"Affect-PD-H"	"Amp-Tone-H"	"Amp-Tone-L"
"Pitch-Shape-Affect-10"	54	"Pitch"	"Shape"	"Affect"	"Size"	"Shape"	"Size-Circles-H"	"Size-Circles-L"	"Shape-BK4-L"	"Shape-BK4-H"
"Pitch-Shape-Affect-10"	55	"Pitch"	"Shape"	"Affect"	"Shape"	"Speed"	"Shape-BK2-H"	"Shape-BK2-L"	"Speed-SP3-H"	"Speed-SP3-L"
"Pitch-Shape-Affect-10"	56	"Pitch"	"Shape"	"Affect"	"Amp"	"Pitch"	"Amp-Tone-L"	"Amp-Tone-H"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Pitch-Shape-Affect-10"	57	"Pitch"	"Shape"	"Affect"	"Noise"	"Pitch"	"Noise-Piano-H"	"Noise-Piano-L"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Pitch-Shape-Affect-10"	58	"Pitch"	"Shape"	"Affect"	"Pitch"	"Shape"	"Pitch-Tone-H"	"Pitch-Tone-L"	"Shape-BK4-H"	"Shape-BK4-L"
"Pitch-Shape-Affect-10"	59	"Pitch"	"Shape"	"Affect"	"Speed"	"Pitch"	"Speed-SP3-L"	"Speed-SP3-H"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Pitch-Shape-Affect-10"	60	"Pitch"	"Shape"	"Affect"	"Color"	"Pitch"	"Color-RB-L"	"Color-RB-H"	"Pitch-Pulse-L"	"Pitch-Pulse-H"
"Pitch-Shape-Affect-10"	61	"Pitch"	"Shape"	"Affect"	"Color"	"Shape"	"Color-RB-L"	"Color-RB-H"	"Shape-BK4-L"	"Shape-BK4-H"
"Pitch-Shape-Affect-10"	62	"Pitch"	"Shape"	"Affect"	"Noise"	"Affect"	"Noise-Piano-L"	"Noise-Piano-H"	"Affect-HS-H"	"Affect-HS-L"
"Pitch-Shape-Affect-10"	63	"Pitch"	"Shape"	"Affect"	"Size"	"Shape"	"Size-Circles-L"	"Size-Circles-H"	"Shape-BK3-H"	"Shape-BK3-L"
"Pitch-Shape-Affect-10"	64	"Pitch"	"Shape"	"Affect"	"Pitch"	"Color"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Color-RB-H"	"Color-RB-L"
"Pitch-Shape-Affect-10"	65	"Pitch"	"Shape"	"Affect"	"Pitch"	"Affect"	"Pitch-Piano-H"	"Pitch-Piano-L"	"Affect-EB-L"	"Affect-EB-H"
"Pitch-Shape-Affect-10"	66	"Pitch"	"Shape"	"Affect"	"Pitch"	"Affect"	"Pitch-Piano-H"	"Pitch-Piano-L"	"Affect-PD-H"	"Affect-PD-L"
"Pitch-Shape-Affect-10"	67	"Pitch"	"Shape"	"Affect"	"Color"	"Pitch"	"Color-RB-L"	"Color-RB-H"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Pitch-Shape-Affect-10"	68	"Pitch"	"Shape"	"Affect"	"Shape"	"Noise"	"Shape-BK1-L"	"Shape-BK1-H"	"Noise-Piano-L"	"Noise-Piano-H"
"Pitch-Shape-Affect-10"	69	"Pitch"	"Shape"	"Affect"	"Pitch"	"Amp"	"Pitch-Piano-L"	"Pitch-Piano-H"	"Amp-Tone-L"	"Amp-Tone-H"
"Pitch-Shape-Affect-10"	70	"Pitch"	"Shape"	"Affect"	"Shape"	"Affect"	"Shape-BK1-H"	"Shape-BK1-L"	"Affect-PD-H"	"Affect-PD-L"
"Pitch-Shape-Affect-10"	71	"Pitch"	"Shape"	"Affect"	"Shape"	"Size"	"Shape-BK1-H"	"Shape-BK1-L"	"Size-Circles-L"	"Size-Circles-H"
"Pitch-Shape-Affect-10"	72	"Pitch"	"Shape"	"Affect"	"Affect"	"Noise"	"Affect-SC-L"	"Affect-SC-H"	"Noise-Piano-L"	"Noise-Piano-H"
"Pitch-Shape-Affect-10"	73	"Pitch"	"Shape"	"Affect"	"Speed"	"Shape"	"Speed-SP3-L"	"Speed-SP3-H"	"Shape-BK4-H"	"Shape-BK4-L"
"Pitch-Shape-Affect-10"	74	"Pitch"	"Shape"	"Affect"	"Color"	"Affect"	"Color-RB-H"	"Color-RB-L"	"Affect-HS-H"	"Affect-HS-L"
"Pitch-Shape-Affect-10"	75	"Pitch"	"Shape"	"Affect"	"Color"	"Affect"	"Color-RB-L"	"Color-RB-H"	"Affect-EB-L"	"Affect-EB-H"
"Pitch-Shape-Affect-10"	76	"Pitch"	"Shape"	"Affect"	"Size"	"Pitch"	"Size-Circles-L"	"Size-Circles-H"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Pitch-Shape-Affect-10"	77	"Pitch"	"Shape"	"Affect"	"Shape"	"Brightness"	"Shape-BK2-H"	"Shape-BK2-L"	"Brightness-Squares-L"	"Brightness-Squares-H"
"Pitch-Shape-Affect-10"	78	"Pitch"	"Shape"	"Affect"	"Pitch"	"Shape"	"Pitch-Piano-L"	"Pitch-Piano-H"	"Shape-BK4-H"	"Shape-BK4-L"
"Pitch-Shape-Affect-10"	79	"Pitch"	"Shape"	"Affect"	"Speed"	"Shape"	"Speed-SP3-H"	"Speed-SP3-L"	"Shape-BK3-L"	"Shape-BK3-H"
"Pitch-Shape-Affect-10"	80	"Pitch"	"Shape"	"Affect"	"Affect"	"Shape"	"Affect-PD-H"	"Affect-PD-L"	"Shape-BK4-L"	"Shape-BK4-H"
"Pitch-Shape-Affect-10"	81	"Pitch"	"Shape"	"Affect"	"Shape"	"Color"	"Shape-BK2-L"	"Shape-BK2-H"	"Color-RB-L"	"Color-RB-H"
"Pitch-Shape-Affect-10"	82	"Pitch"	"Shape"	"Affect"	"Shape"	"Pitch"	"Shape-BK4-H"	"Shape-BK4-L"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Pitch-Shape-Affect-10"	83	"Pitch"	"Shape"	"Affect"	"Pitch"	"Size"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Size-Circles-L"	"Size-Circles-H"
"Pitch-Shape-Affect-10"	84	"Pitch"	"Shape"	"Affect"	"Pitch"	"Shape"	"Pitch-Piano-H"	"Pitch-Piano-L"	"Shape-BK4-H"	"Shape-BK4-L"
"Pitch-Shape-Affect-10"	85	"Pitch"	"Shape"	"Affect"	"Shape"	"Affect"	"Shape-BK4-H"	"Shape-BK4-L"	"Affect-HS-L"	"Affect-HS-H"
"Pitch-Shape-Affect-10"	86	"Pitch"	"Shape"	"Affect"	"Brightness"	"Pitch"	"Brightness-Squares-L"	"Brightness-Squares-H"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Pitch-Shape-Affect-10"	87	"Pitch"	"Shape"	"Affect"	"Speed"	"Pitch"	"Speed-SP3-H"	"Speed-SP3-L"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Pitch-Shape-Affect-10"	88	"Pitch"	"Shape"	"Affect"	"Shape"	"Pitch"	"Shape-BK4-L"	"Shape-BK4-H"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Pitch-Shape-Affect-10"	89	"Pitch"	"Shape"	"Affect"	"Affect"	"Speed"	"Affect-PD-L"	"Affect-PD-H"	"Speed-SP3-H"	"Speed-SP3-L"
"Pitch-Shape-Affect-10"	90	"Pitch"	"Shape"	"Affect"	"Affect"	"Shape"	"Affect-SC-H"	"Affect-SC-L"	"Shape-BK4-H"	"Shape-BK4-L"
"Pitch-Shape-Affect-10"	91	"Pitch"	"Shape"	"Affect"	"Affect"	"Pitch"	"Affect-SC-L"	"Affect-SC-H"	"Pitch-Piano-L"	"Pitch-Piano-H"
"Pitch-Shape-Affect-10"	92	"Pitch"	"Shape"	"Affect"	"Shape"	"Amp"	"Shape-BK1-H"	"Shape-BK1-L"	"Amp-Tone-L"	"Amp-Tone-H"
"Pitch-Shape-Affect-10"	93	"Pitch"	"Shape"	"Affect"	"Amp"	"Pitch"	"Amp-Tone-H"	"Amp-Tone-L"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Pitch-Shape-Affect-10"	94	"Pitch"	"Shape"	"Affect"	"Shape"	"Pitch"	"Shape-BK2-H"	"Shape-BK2-L"	"Pitch-Piano-L"	"Pitch-Piano-H"
"Pitch-Shape-Affect-10"	95	"Pitch"	"Shape"	"Affect"	"Noise"	"Affect"	"Noise-Piano-L"	"Noise-Piano-H"	"Affect-EB-L"	"Affect-EB-H"
"Pitch-Shape-Affect-10"	96	"Pitch"	"Shape"	"Affect"	"Pitch"	"Affect"	"Pitch-Piano-H"	"Pitch-Piano-L"	"Affect-HS-H"	"Affect-HS-L"
