"Id"	"TrialNum"	"Focal1"	"Focal2"	"Focal3"	"Inducer"	"Concurrent"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Amp-Size-Speed-1"	1	"Amp"	"Size"	"Speed"	"Affect"	"Speed"	"Affect-EB-H"	"Affect-EB-L"	"Speed-SP1-H"	"Speed-SP1-L"
"Amp-Size-Speed-1"	2	"Amp"	"Size"	"Speed"	"Color"	"Amp"	"Color-RG-H"	"Color-RG-L"	"Amp-Tone-L"	"Amp-Tone-H"
"Amp-Size-Speed-1"	3	"Amp"	"Size"	"Speed"	"Color"	"Amp"	"Color-RG-L"	"Color-RG-H"	"Amp-Pulse-H"	"Amp-Pulse-L"
"Amp-Size-Speed-1"	4	"Amp"	"Size"	"Speed"	"Shape"	"Size"	"Shape-BK3-L"	"Shape-BK3-H"	"Size-Circles-H"	"Size-Circles-L"
"Amp-Size-Speed-1"	5	"Amp"	"Size"	"Speed"	"Size"	"Amp"	"Size-Diamonds-H"	"Size-Diamonds-L"	"Amp-Tone-H"	"Amp-Tone-L"
"Amp-Size-Speed-1"	6	"Amp"	"Size"	"Speed"	"Speed"	"Brightness"	"Speed-SP4-L"	"Speed-SP4-H"	"Brightness-Squares-L"	"Brightness-Squares-H"
"Amp-Size-Speed-1"	7	"Amp"	"Size"	"Speed"	"Amp"	"Shape"	"Amp-Piano-H"	"Amp-Piano-L"	"Shape-BK3-L"	"Shape-BK3-H"
"Amp-Size-Speed-1"	8	"Amp"	"Size"	"Speed"	"Speed"	"Noise"	"Speed-SP3-L"	"Speed-SP3-H"	"Noise-Hum-H"	"Noise-Hum-L"
"Amp-Size-Speed-1"	9	"Amp"	"Size"	"Speed"	"Amp"	"Pitch"	"Amp-Hum-L"	"Amp-Hum-H"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Amp-Size-Speed-1"	10	"Amp"	"Size"	"Speed"	"Size"	"Speed"	"Size-Diamonds-L"	"Size-Diamonds-H"	"Speed-SP3-H"	"Speed-SP3-L"
"Amp-Size-Speed-1"	11	"Amp"	"Size"	"Speed"	"Speed"	"Size"	"Speed-SP4-H"	"Speed-SP4-L"	"Size-Circles-L"	"Size-Circles-H"
"Amp-Size-Speed-1"	12	"Amp"	"Size"	"Speed"	"Pitch"	"Amp"	"Pitch-Hum-H"	"Pitch-Hum-L"	"Amp-Tone-H"	"Amp-Tone-L"
"Amp-Size-Speed-1"	13	"Amp"	"Size"	"Speed"	"Noise"	"Size"	"Noise-Hum-L"	"Noise-Hum-H"	"Size-Circles-L"	"Size-Circles-H"
"Amp-Size-Speed-1"	14	"Amp"	"Size"	"Speed"	"Speed"	"Brightness"	"Speed-SP3-H"	"Speed-SP3-L"	"Brightness-Squares-H"	"Brightness-Squares-L"
"Amp-Size-Speed-1"	15	"Amp"	"Size"	"Speed"	"Speed"	"Amp"	"Speed-SP3-H"	"Speed-SP3-L"	"Amp-Pulse-L"	"Amp-Pulse-H"
"Amp-Size-Speed-1"	16	"Amp"	"Size"	"Speed"	"Color"	"Size"	"Color-RG-L"	"Color-RG-H"	"Size-Triangles-L"	"Size-Triangles-H"
"Amp-Size-Speed-1"	17	"Amp"	"Size"	"Speed"	"Speed"	"Affect"	"Speed-SP3-H"	"Speed-SP3-L"	"Affect-EB-L"	"Affect-EB-H"
"Amp-Size-Speed-1"	18	"Amp"	"Size"	"Speed"	"Brightness"	"Speed"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Speed-SP1-H"	"Speed-SP1-L"
"Amp-Size-Speed-1"	19	"Amp"	"Size"	"Speed"	"Size"	"Affect"	"Size-Diamonds-H"	"Size-Diamonds-L"	"Affect-EB-L"	"Affect-EB-H"
"Amp-Size-Speed-1"	20	"Amp"	"Size"	"Speed"	"Brightness"	"Amp"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Amp-Pulse-L"	"Amp-Pulse-H"
"Amp-Size-Speed-1"	21	"Amp"	"Size"	"Speed"	"Size"	"Speed"	"Size-Squares-H"	"Size-Squares-L"	"Speed-SP3-H"	"Speed-SP3-L"
"Amp-Size-Speed-1"	22	"Amp"	"Size"	"Speed"	"Amp"	"Speed"	"Amp-Hum-L"	"Amp-Hum-H"	"Speed-SP3-L"	"Speed-SP3-H"
"Amp-Size-Speed-1"	23	"Amp"	"Size"	"Speed"	"Speed"	"Size"	"Speed-SP3-H"	"Speed-SP3-L"	"Size-Circles-L"	"Size-Circles-H"
"Amp-Size-Speed-1"	24	"Amp"	"Size"	"Speed"	"Size"	"Shape"	"Size-Diamonds-H"	"Size-Diamonds-L"	"Shape-BK3-L"	"Shape-BK3-H"
"Amp-Size-Speed-1"	25	"Amp"	"Size"	"Speed"	"Speed"	"Pitch"	"Speed-SP3-L"	"Speed-SP3-H"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Amp-Size-Speed-1"	26	"Amp"	"Size"	"Speed"	"Amp"	"Affect"	"Amp-Piano-L"	"Amp-Piano-H"	"Affect-EB-H"	"Affect-EB-L"
"Amp-Size-Speed-1"	27	"Amp"	"Size"	"Speed"	"Size"	"Speed"	"Size-Circles-H"	"Size-Circles-L"	"Speed-SP1-L"	"Speed-SP1-H"
"Amp-Size-Speed-1"	28	"Amp"	"Size"	"Speed"	"Amp"	"Color"	"Amp-Hum-H"	"Amp-Hum-L"	"Color-RG-H"	"Color-RG-L"
"Amp-Size-Speed-1"	29	"Amp"	"Size"	"Speed"	"Shape"	"Amp"	"Shape-BK3-H"	"Shape-BK3-L"	"Amp-Tone-H"	"Amp-Tone-L"
"Amp-Size-Speed-1"	30	"Amp"	"Size"	"Speed"	"Speed"	"Amp"	"Speed-SP3-L"	"Speed-SP3-H"	"Amp-Tone-H"	"Amp-Tone-L"
"Amp-Size-Speed-1"	31	"Amp"	"Size"	"Speed"	"Size"	"Brightness"	"Size-Diamonds-L"	"Size-Diamonds-H"	"Brightness-Squares-H"	"Brightness-Squares-L"
"Amp-Size-Speed-1"	32	"Amp"	"Size"	"Speed"	"Speed"	"Amp"	"Speed-SP3-H"	"Speed-SP3-L"	"Amp-Tone-H"	"Amp-Tone-L"
"Amp-Size-Speed-1"	33	"Amp"	"Size"	"Speed"	"Amp"	"Brightness"	"Amp-Hum-L"	"Amp-Hum-H"	"Brightness-Squares-H"	"Brightness-Squares-L"
"Amp-Size-Speed-1"	34	"Amp"	"Size"	"Speed"	"Size"	"Color"	"Size-Diamonds-H"	"Size-Diamonds-L"	"Color-RG-L"	"Color-RG-H"
"Amp-Size-Speed-1"	35	"Amp"	"Size"	"Speed"	"Amp"	"Speed"	"Amp-Tone-L"	"Amp-Tone-H"	"Speed-SP2-L"	"Speed-SP2-H"
"Amp-Size-Speed-1"	36	"Amp"	"Size"	"Speed"	"Pitch"	"Amp"	"Pitch-Hum-L"	"Pitch-Hum-H"	"Amp-Pulse-L"	"Amp-Pulse-H"
"Amp-Size-Speed-1"	37	"Amp"	"Size"	"Speed"	"Size"	"Shape"	"Size-Squares-L"	"Size-Squares-H"	"Shape-BK3-L"	"Shape-BK3-H"
"Amp-Size-Speed-1"	38	"Amp"	"Size"	"Speed"	"Shape"	"Size"	"Shape-BK3-L"	"Shape-BK3-H"	"Size-Triangles-L"	"Size-Triangles-H"
"Amp-Size-Speed-1"	39	"Amp"	"Size"	"Speed"	"Amp"	"Pitch"	"Amp-Piano-H"	"Amp-Piano-L"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Amp-Size-Speed-1"	40	"Amp"	"Size"	"Speed"	"Shape"	"Speed"	"Shape-BK3-L"	"Shape-BK3-H"	"Speed-SP2-L"	"Speed-SP2-H"
"Amp-Size-Speed-1"	41	"Amp"	"Size"	"Speed"	"Shape"	"Speed"	"Shape-BK3-L"	"Shape-BK3-H"	"Speed-SP1-H"	"Speed-SP1-L"
