"Id"	"TrialNum"	"Focal1"	"Focal2"	"Focal3"	"Inducer"	"Concurrent"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Noise-Brightness-Color-3"	1	"Noise"	"Brightness"	"Color"	"Brightness"	"Affect"	"Brightness-Circles-L"	"Brightness-Circles-H"	"Affect-EB-H"	"Affect-EB-L"
"Noise-Brightness-Color-3"	2	"Noise"	"Brightness"	"Color"	"Color"	"Affect"	"Color-RG-H"	"Color-RG-L"	"Affect-EB-L"	"Affect-EB-H"
"Noise-Brightness-Color-3"	3	"Noise"	"Brightness"	"Color"	"Size"	"Noise"	"Size-Circles-H"	"Size-Circles-L"	"Noise-Hum-L"	"Noise-Hum-H"
"Noise-Brightness-Color-3"	4	"Noise"	"Brightness"	"Color"	"Speed"	"Noise"	"Speed-SP3-H"	"Speed-SP3-L"	"Noise-Hum-H"	"Noise-Hum-L"
"Noise-Brightness-Color-3"	5	"Noise"	"Brightness"	"Color"	"Color"	"Speed"	"Color-RB-H"	"Color-RB-L"	"Speed-SP3-L"	"Speed-SP3-H"
"Noise-Brightness-Color-3"	6	"Noise"	"Brightness"	"Color"	"Color"	"Speed"	"Color-RG-L"	"Color-RG-H"	"Speed-SP3-H"	"Speed-SP3-L"
"Noise-Brightness-Color-3"	7	"Noise"	"Brightness"	"Color"	"Brightness"	"Color"	"Brightness-Squares-L"	"Brightness-Squares-H"	"Color-YB-L"	"Color-YB-H"
"Noise-Brightness-Color-3"	8	"Noise"	"Brightness"	"Color"	"Affect"	"Noise"	"Affect-EB-H"	"Affect-EB-L"	"Noise-Piano-H"	"Noise-Piano-L"
"Noise-Brightness-Color-3"	9	"Noise"	"Brightness"	"Color"	"Noise"	"Pitch"	"Noise-Pulse-L"	"Noise-Pulse-H"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Noise-Brightness-Color-3"	10	"Noise"	"Brightness"	"Color"	"Color"	"Brightness"	"Color-RB-L"	"Color-RB-H"	"Brightness-Squares-L"	"Brightness-Squares-H"
"Noise-Brightness-Color-3"	11	"Noise"	"Brightness"	"Color"	"Noise"	"Color"	"Noise-Hum-L"	"Noise-Hum-H"	"Color-YB-H"	"Color-YB-L"
"Noise-Brightness-Color-3"	12	"Noise"	"Brightness"	"Color"	"Brightness"	"Size"	"Brightness-Triangles-L"	"Brightness-Triangles-H"	"Size-Circles-H"	"Size-Circles-L"
"Noise-Brightness-Color-3"	13	"Noise"	"Brightness"	"Color"	"Brightness"	"Size"	"Brightness-Circles-H"	"Brightness-Circles-L"	"Size-Circles-H"	"Size-Circles-L"
"Noise-Brightness-Color-3"	14	"Noise"	"Brightness"	"Color"	"Color"	"Noise"	"Color-YB-L"	"Color-YB-H"	"Noise-Piano-H"	"Noise-Piano-L"
"Noise-Brightness-Color-3"	15	"Noise"	"Brightness"	"Color"	"Speed"	"Noise"	"Speed-SP3-L"	"Speed-SP3-H"	"Noise-Piano-L"	"Noise-Piano-H"
"Noise-Brightness-Color-3"	16	"Noise"	"Brightness"	"Color"	"Color"	"Noise"	"Color-RB-H"	"Color-RB-L"	"Noise-Hum-H"	"Noise-Hum-L"
"Noise-Brightness-Color-3"	17	"Noise"	"Brightness"	"Color"	"Color"	"Brightness"	"Color-YB-L"	"Color-YB-H"	"Brightness-Squares-H"	"Brightness-Squares-L"
"Noise-Brightness-Color-3"	18	"Noise"	"Brightness"	"Color"	"Color"	"Affect"	"Color-RB-L"	"Color-RB-H"	"Affect-EB-L"	"Affect-EB-H"
"Noise-Brightness-Color-3"	19	"Noise"	"Brightness"	"Color"	"Brightness"	"Noise"	"Brightness-Triangles-L"	"Brightness-Triangles-H"	"Noise-Hum-H"	"Noise-Hum-L"
"Noise-Brightness-Color-3"	20	"Noise"	"Brightness"	"Color"	"Amp"	"Brightness"	"Amp-Tone-L"	"Amp-Tone-H"	"Brightness-Diamonds-L"	"Brightness-Diamonds-H"
"Noise-Brightness-Color-3"	21	"Noise"	"Brightness"	"Color"	"Noise"	"Brightness"	"Noise-Hum-H"	"Noise-Hum-L"	"Brightness-Diamonds-H"	"Brightness-Diamonds-L"
"Noise-Brightness-Color-3"	22	"Noise"	"Brightness"	"Color"	"Shape"	"Brightness"	"Shape-BK4-H"	"Shape-BK4-L"	"Brightness-Diamonds-L"	"Brightness-Diamonds-H"
"Noise-Brightness-Color-3"	23	"Noise"	"Brightness"	"Color"	"Brightness"	"Color"	"Brightness-Circles-L"	"Brightness-Circles-H"	"Color-YB-H"	"Color-YB-L"
"Noise-Brightness-Color-3"	24	"Noise"	"Brightness"	"Color"	"Speed"	"Brightness"	"Speed-SP3-L"	"Speed-SP3-H"	"Brightness-Diamonds-H"	"Brightness-Diamonds-L"
"Noise-Brightness-Color-3"	25	"Noise"	"Brightness"	"Color"	"Brightness"	"Noise"	"Brightness-Circles-H"	"Brightness-Circles-L"	"Noise-Hum-H"	"Noise-Hum-L"
"Noise-Brightness-Color-3"	26	"Noise"	"Brightness"	"Color"	"Affect"	"Noise"	"Affect-EB-L"	"Affect-EB-H"	"Noise-Hum-L"	"Noise-Hum-H"
"Noise-Brightness-Color-3"	27	"Noise"	"Brightness"	"Color"	"Color"	"Shape"	"Color-RG-H"	"Color-RG-L"	"Shape-BK4-L"	"Shape-BK4-H"
