"Id"	"TrialNum"	"Focal1"	"Focal2"	"Focal3"	"Inducer"	"Concurrent"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Noise-Shape-Speed-2"	1	"Noise"	"Shape"	"Speed"	"Affect"	"Noise"	"Affect-HS-H"	"Affect-HS-L"	"Noise-Piano-L"	"Noise-Piano-H"
"Noise-Shape-Speed-2"	2	"Noise"	"Shape"	"Speed"	"Noise"	"Color"	"Noise-Hum-L"	"Noise-Hum-H"	"Color-RY-H"	"Color-RY-L"
"Noise-Shape-Speed-2"	3	"Noise"	"Shape"	"Speed"	"Shape"	"Brightness"	"Shape-BK1-H"	"Shape-BK1-L"	"Brightness-Squares-L"	"Brightness-Squares-H"
"Noise-Shape-Speed-2"	4	"Noise"	"Shape"	"Speed"	"Speed"	"Color"	"Speed-SP3-H"	"Speed-SP3-L"	"Color-RY-L"	"Color-RY-H"
"Noise-Shape-Speed-2"	5	"Noise"	"Shape"	"Speed"	"Affect"	"Noise"	"Affect-HS-H"	"Affect-HS-L"	"Noise-Tone-L"	"Noise-Tone-H"
"Noise-Shape-Speed-2"	6	"Noise"	"Shape"	"Speed"	"Size"	"Noise"	"Size-Circles-L"	"Size-Circles-H"	"Noise-Tone-L"	"Noise-Tone-H"
"Noise-Shape-Speed-2"	7	"Noise"	"Shape"	"Speed"	"Noise"	"Speed"	"Noise-Piano-H"	"Noise-Piano-L"	"Speed-SP2-H"	"Speed-SP2-L"
"Noise-Shape-Speed-2"	8	"Noise"	"Shape"	"Speed"	"Noise"	"Amp"	"Noise-Hum-L"	"Noise-Hum-H"	"Amp-Piano-H"	"Amp-Piano-L"
"Noise-Shape-Speed-2"	9	"Noise"	"Shape"	"Speed"	"Amp"	"Shape"	"Amp-Piano-L"	"Amp-Piano-H"	"Shape-BK4-L"	"Shape-BK4-H"
"Noise-Shape-Speed-2"	10	"Noise"	"Shape"	"Speed"	"Shape"	"Color"	"Shape-BK1-L"	"Shape-BK1-H"	"Color-RY-H"	"Color-RY-L"
"Noise-Shape-Speed-2"	11	"Noise"	"Shape"	"Speed"	"Shape"	"Pitch"	"Shape-BK1-H"	"Shape-BK1-L"	"Pitch-Tone-H"	"Pitch-Tone-L"
"Noise-Shape-Speed-2"	12	"Noise"	"Shape"	"Speed"	"Brightness"	"Speed"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Speed-SP2-L"	"Speed-SP2-H"
"Noise-Shape-Speed-2"	13	"Noise"	"Shape"	"Speed"	"Size"	"Speed"	"Size-Circles-L"	"Size-Circles-H"	"Speed-SP1-H"	"Speed-SP1-L"
"Noise-Shape-Speed-2"	14	"Noise"	"Shape"	"Speed"	"Shape"	"Size"	"Shape-BK2-H"	"Shape-BK2-L"	"Size-Circles-H"	"Size-Circles-L"
"Noise-Shape-Speed-2"	15	"Noise"	"Shape"	"Speed"	"Noise"	"Size"	"Noise-Hum-L"	"Noise-Hum-H"	"Size-Circles-H"	"Size-Circles-L"
"Noise-Shape-Speed-2"	16	"Noise"	"Shape"	"Speed"	"Shape"	"Speed"	"Shape-BK1-H"	"Shape-BK1-L"	"Speed-SP4-H"	"Speed-SP4-L"
