"Id"	"TrialNum"	"Focal1"	"Focal2"	"Focal3"	"Inducer"	"Concurrent"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Pitch-Shape-Affect-1"	1	"Pitch"	"Shape"	"Affect"	"Speed"	"Shape"	"Speed-SP3-L"	"Speed-SP3-H"	"Shape-BK4-L"	"Shape-BK4-H"
"Pitch-Shape-Affect-1"	2	"Pitch"	"Shape"	"Affect"	"Size"	"Shape"	"Size-Circles-L"	"Size-Circles-H"	"Shape-BK3-L"	"Shape-BK3-H"
"Pitch-Shape-Affect-1"	3	"Pitch"	"Shape"	"Affect"	"Shape"	"Pitch"	"Shape-BK1-L"	"Shape-BK1-H"	"Pitch-Piano-L"	"Pitch-Piano-H"
"Pitch-Shape-Affect-1"	4	"Pitch"	"Shape"	"Affect"	"Affect"	"Pitch"	"Affect-HS-L"	"Affect-HS-H"	"Pitch-Piano-L"	"Pitch-Piano-H"
"Pitch-Shape-Affect-1"	5	"Pitch"	"Shape"	"Affect"	"Affect"	"Size"	"Affect-SC-H"	"Affect-SC-L"	"Size-Circles-H"	"Size-Circles-L"
"Pitch-Shape-Affect-1"	6	"Pitch"	"Shape"	"Affect"	"Noise"	"Affect"	"Noise-Pulse-H"	"Noise-Pulse-L"	"Affect-EB-L"	"Affect-EB-H"
"Pitch-Shape-Affect-1"	7	"Pitch"	"Shape"	"Affect"	"Affect"	"Pitch"	"Affect-EB-L"	"Affect-EB-H"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Pitch-Shape-Affect-1"	8	"Pitch"	"Shape"	"Affect"	"Affect"	"Shape"	"Affect-SC-L"	"Affect-SC-H"	"Shape-BK3-H"	"Shape-BK3-L"
"Pitch-Shape-Affect-1"	9	"Pitch"	"Shape"	"Affect"	"Color"	"Shape"	"Color-YB-L"	"Color-YB-H"	"Shape-BK4-H"	"Shape-BK4-L"
"Pitch-Shape-Affect-1"	10	"Pitch"	"Shape"	"Affect"	"Affect"	"Shape"	"Affect-EB-L"	"Affect-EB-H"	"Shape-BK4-H"	"Shape-BK4-L"
"Pitch-Shape-Affect-1"	11	"Pitch"	"Shape"	"Affect"	"Noise"	"Shape"	"Noise-Pulse-L"	"Noise-Pulse-H"	"Shape-BK4-L"	"Shape-BK4-H"
"Pitch-Shape-Affect-1"	12	"Pitch"	"Shape"	"Affect"	"Speed"	"Shape"	"Speed-SP3-L"	"Speed-SP3-H"	"Shape-BK3-H"	"Shape-BK3-L"
"Pitch-Shape-Affect-1"	13	"Pitch"	"Shape"	"Affect"	"Shape"	"Speed"	"Shape-BK1-L"	"Shape-BK1-H"	"Speed-SP3-L"	"Speed-SP3-H"
"Pitch-Shape-Affect-1"	14	"Pitch"	"Shape"	"Affect"	"Shape"	"Amp"	"Shape-BK2-L"	"Shape-BK2-H"	"Amp-Piano-H"	"Amp-Piano-L"
"Pitch-Shape-Affect-1"	15	"Pitch"	"Shape"	"Affect"	"Pitch"	"Affect"	"Pitch-Piano-L"	"Pitch-Piano-H"	"Affect-PD-H"	"Affect-PD-L"
"Pitch-Shape-Affect-1"	16	"Pitch"	"Shape"	"Affect"	"Shape"	"Pitch"	"Shape-BK3-H"	"Shape-BK3-L"	"Pitch-Piano-H"	"Pitch-Piano-L"
"Pitch-Shape-Affect-1"	17	"Pitch"	"Shape"	"Affect"	"Noise"	"Affect"	"Noise-Pulse-H"	"Noise-Pulse-L"	"Affect-PD-H"	"Affect-PD-L"
"Pitch-Shape-Affect-1"	18	"Pitch"	"Shape"	"Affect"	"Color"	"Pitch"	"Color-YB-L"	"Color-YB-H"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
