ID,Group,Sound Symbolism,Experiment Design,Data Handling,JavaScript,Online Experiments,LMER in R,Advanced Statistics in R,Bayes and Agent-Based Modelling
169,B,4,4,1,1,1,2,2,1
710,D,1,4,2,1,1,3,1,1
762,B,1,3,4,2,1,2,1,
1014,C,1,3,2,2,1,3,1,2
1022,C,2,4,1,1,1,2,1,1
1438,C,1,3,3,1,1,2,1,2
1492,F,2,3,2,1,1,3,2,2
2946,A,1,2,2,1,1,3,3,1
3682,F,1,3,1,1,1,3,1,1
3934,D,1,3,3,1,1,5,4,4
4275,B,1,3,1,1,2,1,1,1
5373,F,1,4,2,1,1,3,3,2
5720,E,1,3,5,1,1,2,1,5
6075,E,3,4,3,3,1,5,4,2
6193,A,4,3,1,1,1,1,1,1
6271,D,2,2,2,1,1,3,1,1
6498,A,1,4,4,1,1,3,2,2
6575,D,4,3,1,1,1,1,1,1
7397,E,3,1,1,1,1,1,1,1
7413,E,1,3,1,1,1,3,1,1
7668,A,1,3,1,1,1,2,1,2
7892,C,1,1,1,1,1,1,1,1
8794,D,1,3,2,1,1,2,1,1
8931,B,2,3,1,1,1,4,4,1
8976,F,4,3,1,1,1,3,1,1
9935,C,4,4,1,1,3,5,3,3
